"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Follows,Comments,Saves
18125302072605343,17841444080662395,sobat.ti,"SobatTi | Tech Tutor & Project Mentor","Pstt... Ngerasa skill IT kalian jalan di tempat padahal dunia teknologi udah ngebut kayak roket? 🚀

Ada yang baru nih buat sobatIT di seluruh Indonesia! Wadah upgrade skill yang santuy tapi isinya daging semua. 🔥

📌 FOLLOW sekarang buat dapet bocoran pertamanya! Jangan sampai nyesel ketinggalan info seru di first launch kita. 🚀🔥

#sobatTI #ComingSoon #TechCommunity #UpgradeSkill #WebDevIndonesia",0,"03/27/2026 03:26",https://www.instagram.com/p/DWYmv_6j6Ge/,"IG image",,Lifetime,193,79,7,0,0,0,0
18132204502507799,17841444080662395,sobat.ti,"SobatTi | Tech Tutor & Project Mentor","Terlalu lama cari ikon🤔
Bingung cek kontras warna🤷🏻‍♀️
Masih copy-paste konten dummy manual😟

Yuk kenalan dengan 3 plugin Figma yang bisa menghemat waktu desainmu, jangan lupa swipe yaa👉🏻

Tulis dikolom komentar plugin apa yang paling sering kamu gunakan di Figma? 🤔

📩 Informasi & Pendaftaran:
📞 +62 895-3658-96938

🌐 sobatti.vercel.app
📱 IG & TikTok: sobat.ti

#sobatTI #UIUX #FigmaPlugin #DesignTools #FigmaIndonesia",0,"06/01/2026 18:09",https://www.instagram.com/p/DZEIVAQjyaw/,"IG carousel",,Lifetime,804,475,24,2,0,0,1
17864300340626573,17841444080662395,sobat.ti,"SobatTi | Tech Tutor & Project Mentor","kalau codingnya udah ga kekontrol project nya gak selesai lansung oper ke Sobat TI aja yaa😋👨‍💻

#SobatTI #codinglife #jokiit",14,"05/21/2026 04:31",https://www.instagram.com/reel/DYmVtMZvLf9/,"IG reel",,Lifetime,2704,1928,90,7,3,3,0
18087899282344709,17841444080662395,sobat.ti,"SobatTi | Tech Tutor & Project Mentor","Halo Sobatizen👋🏻

Pernah ga sih sobatizen muak sama hasil generate AI yang ga sesuai ekspektasi?, padahal udah prompt sampai berkali-kali😵‍💫

Eits, jangan emosi dulu! Minsob punya beberapa tips buat kalian nih, swipe ya! 👉

#SobatTi#Sobatizen #TipsAI#aigenerator",0,"04/27/2026 17:39",https://www.instagram.com/p/DXp9Jv9j64l/,"IG carousel",,Lifetime,1563,769,25,7,1,0,3
18098918573108465,17841444080662395,sobat.ti,"SobatTi | Tech Tutor & Project Mentor","Halo Sobatizen! 👋✨

Jangan sampai ketinggalan 🚨
Promo spesial launching SobatTi lagi berlangsung nih!

Dengan harga super hemat, kamu bisa dapetin bimbingan belajar + mentoring project yang siap bantu kamu upgrade skill sampai siap bangun portofolio 💻🔥

💥 Promo Group (4–5 orang)
💥 Promo Khusus Mahasiswa POLINES
💥 Mulai dari 10K - 25K aja per pertemuan!
⚠️ Kuota terbatas, jadi siapa cepat dia dapat!

Yuk langsung daftar sebelum kehabisan 👇
📲 Scan QR atau hubungi kontak yang tersedia

📩 Informasi & Pendaftaran:
📞 +62 895-3658-96938

🌐 sobatti.web.id
📱 IG & TikTok: sobat.ti",22,"04/25/2026 19:00",https://www.instagram.com/reel/DXk8zkzT3h9/,"IG reel",,Lifetime,344,224,11,1,0,0,0
18369332620167953,17841444080662395,sobat.ti,"SobatTi | Tech Tutor & Project Mentor","Halo Sobatizen! 👋✨

Jangan sampai ketinggalan 🚨
Promo spesial launching SobatTi lagi berlangsung nih!

Dengan harga super hemat, kamu bisa dapetin bimbingan belajar + mentoring project yang siap bantu kamu upgrade skill sampai siap bangun portofolio 💻🔥

💥 Promo Group (4–5 orang)
💥 Promo Khusus Mahasiswa POLINES
💥 Mulai dari 10K - 25K aja per pertemuan!
⚠️ Kuota terbatas, jadi siapa cepat dia dapat!

Yuk langsung daftar sebelum kehabisan 👇
📲 Scan QR atau hubungi kontak yang tersedia

📩 Informasi & Pendaftaran:
📞 +62 895-3658-96938

🌐 sobatti.web.id
📱 IG & TikTok: sobat.ti",0,"04/20/2026 01:06",https://www.instagram.com/p/DXWJ3m0D7OI/,"IG image",,Lifetime,1408,645,25,7,0,1,0
18044505356774193,17841444080662395,sobat.ti,"SobatTi | Tech Tutor & Project Mentor","Waktu ngoding malah stuck? 🤯
Tenang Sobatizen, kita punya solusinya! 💡

👉 Swipe untuk lihat tools yang bisa bantu kamu keluar pas lagi stuck!

#Sobattizen #NgodingTips #ProgrammerLife",0,"04/19/2026 20:37",https://www.instagram.com/p/DXVrDbHj_IN/,"IG carousel",,Lifetime,1568,786,24,5,0,0,4
18114196423685420,17841444080662395,sobat.ti,"SobatTi | Tech Tutor & Project Mentor","Halo, Sobatizen! 👋

Sering ngerasa stuck ngerjain project sendirian? Atau laptop mulai rewel pas lagi sayang-sayangnya? Tenang, SobatTi hadir buat jadi solusi cerdas di setiap langkah perjalanan teknologi kamu.

Kami bukan cuma sekadar mentoring, tapi partner eksekusi untuk 5 pilar utama:

🌐 Web Development
📱 Mobile App
💡 Internet of Things (IoT)
🎨 UI/UX Design
🎥 Video Editing

Butuh bantuan lebih? Kami juga siap melayani:
✨ Project Kuliah
✨ Portfolio Building
✨ Jasa install ulang biar performa makin sat-set.

📩 Informasi & Pendaftaran:
📞 +62 895-3658-96938

🌐 sobatti.web.id
📱 IG & TikTok: sobat.ti

#SobatTi #ITSolution #TechSupport #JasaProject #MahasiswaIT",0,"04/17/2026 20:40",https://www.instagram.com/p/DXQh5_mj7rR/,"IG carousel",,Lifetime,1145,583,18,3,0,0,0
17959108896076510,17841444080662395,sobat.ti,"SobatTi | Tech Tutor & Project Mentor","Udah bosan dan bingung belajar sendirian?🫣, Sini kenalan sama SobatTi! 👨‍💻

Di sini kalian bakal di temenin sama mentor yang asik😋, kalau jelasin materi di jamin anti pusing. Daripada scrolling gak jelas, mending belajar bareng SobatTi! 🤩

Ayo buruan join dengan cara hubungi cp dibawah ini yaaa👇

📩 Informasi & Pendaftaran:
📞 +62 895-3658-96938

🌐 sobatti.vercel.app
📱 IG & TikTok: sobat.ti

#sobatTI #TechComunity #MentoringIT #KomunitasIT",13,"04/01/2026 20:42",https://www.instagram.com/reel/DWnVN3JDyMm/,"IG reel",,Lifetime,1803,1011,25,5,0,0,0
17848343025679038,17841444080662395,sobat.ti,"SobatTi | Tech Tutor & Project Mentor","Halo teman-teman! 👋
Lagi pengen upgrade skill tapi bingung mulai dari mana?

Kami hadir untuk kamu melalui SobatTi 💻✨
Program bimbingan belajar & tutor/mentor project yang siap bantu kamu berkembang di bidang teknologi!

🚀 Kenapa harus SobatTi?

1.Privat mentoring (1-on-1 / kelompok kecil) jadi lebih fokus
2.Dibimbing langsung sampai paham, bukan cuma teori
3.Belajar berbasis project nyata
4.Fleksibel & bisa disesuaikan dengan kebutuhan kamu
5.Cocok untuk pemula sampai yang mau upgrade skill

📚 Bidang yang bisa kamu pelajari:

1. Web Development
2. Mobile App
3. UI/UX Design
4. IoT
5. Video Editing

Yuk, mulai langkahmu sekarang dan upgrade skill bersama SobatTi! 🔥

📩 Informasi & Pendaftaran:
📞 +62 895-3658-96938

🌐 sobatti.vercel.app
📱 IG & TikTok: sobat.ti

#sobatTI #TechComunity #MentoringIT #KomunitasIT",0,"04/01/2026 03:04",https://www.instagram.com/p/DWlcC0OD_gr/,"IG image",,Lifetime,961,403,34,3,3,5,0
18097206940816793,17841444080662395,sobat.ti,"SobatTi | Tech Tutor & Project Mentor","Cuma bisa teorinya doang, pas praktik bingung?🤔 Mending stop simulasi sedih, ayo mulai aksi! ✨

Tinggalin cara lama, saatnya Upgrade Skill IT kalian bareng sobatTI!🧑‍💻

🧠 Skill Nambah + 🌐 Portofolio Ciamik + 🤝 Relasi Luas = siap masuk dunia kerja/kuliah IT!

Save postingan ini & pantengin terus, launching kita udah di depan mata! ⏳
#sobatTI #UpgradeSkillIT #UIUXTips #CodingLife #IOTIndonesia",0,"03/27/2026 03:27",https://www.instagram.com/p/DWYm85Sj7t8/,"IG image",,Lifetime,329,110,7,0,0,0,1
18113350351663665,17841444080662395,sobat.ti,"SobatTi | Tech Tutor & Project Mentor","[🚨ALERT!!!] Buat kalian yang masih baru mulai belajar coding dan desain dan pusing harus mulai dari mana? 😂

Kenalin, sobatTI! Komunitas + Platform Mentoring IT yang siap nemenin kalian (pelajar SMA/SMK & Mahasiswa) buat jagoin:

🌐 Web Development
📱 Mobile App
💡 Internet of Things (IoT)
🎨 UI/UX Design
🎥 Video Editing

Kita bakal belajar santai, sharing santuy, dan upgrade skill bareng! 🤝
Siap jadi sobatTI? Komen “SIAP” di bawah! 👇

#sobatTI #KomunitasIT #BelajarCoding #MentoringIT #MahasiswaTI",0,"03/27/2026 03:27",https://www.instagram.com/p/DWYm2JMD6sB/,"IG image",,Lifetime,1149,585,8,4,3,2,0
